player_id,season_avg_points,season_avg_rebounds,season_avg_assists,last_10_avg_points,last_5_avg_points,last_5_avg_rebounds,last_5_avg_assists,home_vs_away,games_played,rest_days,actual_points,actual_rebounds,actual_assists
202692,8.321428571428571,2.0,0.8928571428571429,11.4,8.4,2.0,1.0,0,28,1,27,4,1
202692,8.96551724137931,2.0689655172413794,0.896551724137931,11.6,12.4,2.2,1.2,0,29,1,13,4,2
202692,9.1,2.1333333333333333,0.9333333333333333,10.7,13.6,2.8,1.4,0,30,1,18,4,1
202692,9.387096774193548,2.193548387096774,0.9354838709677419,12.0,16.8,3.2,1.4,1,31,1,16,3,1
202692,9.59375,2.21875,0.9375,12.3,19.0,3.4,1.4,1,32,0,15,2,2
202692,9.757575757575758,2.212121212121212,0.9696969696969697,13.1,17.8,3.4,1.4,1,33,1,19,0,1
202692,10.029411764705882,2.1470588235294117,0.9705882352941176,14.3,16.2,2.6,1.4,0,34,2,34,2,2
202692,10.714285714285714,2.142857142857143,1.0,17.0,20.4,2.2,1.4,1,35,1,12,1,1
202692,10.75,2.111111111111111,1.0,18.0,19.2,1.6,1.4,1,36,2,33,7,6
202692,11.35135135135135,2.2432432432432434,1.135135135135135,20.8,22.6,2.4,2.4,1,37,1,9,2,3
202692,11.289473684210526,2.236842105263158,1.1842105263157894,19.6,21.4,2.4,2.6,1,38,1,15,0,1
202692,11.384615384615385,2.1794871794871793,1.1794871794871795,18.4,20.6,2.4,2.6,1,39,2,8,4,0
202692,11.3,2.225,1.15,17.9,15.4,2.8,2.2,1,40,0,10,6,2
202692,11.268292682926829,2.317073170731707,1.170731707317073,17.1,15.0,3.8,2.4,0,41,2,11,4,6
202692,11.261904761904763,2.357142857142857,1.2857142857142858,16.6,10.6,3.2,2.4,0,42,7,8,1,1
202692,11.186046511627907,2.3255813953488373,1.2790697674418605,15.9,10.4,3.0,2.0,1,43,1,11,2,1
202692,11.181818181818182,2.3181818181818183,1.2727272727272727,15.1,9.6,3.4,2.0,1,44,2,0,0,0
202692,10.933333333333334,2.2666666666666666,1.2444444444444445,11.7,8.0,2.6,2.0,1,45,1,5,1,0
202692,10.804347826086957,2.239130434782609,1.2173913043478262,11.0,7.0,1.6,1.6,1,46,1,2,2,1
202692,10.617021276595745,2.234042553191489,1.2127659574468086,7.9,5.2,1.2,0.6,0,47,1,5,1,0
202692,10.5,2.2083333333333335,1.1875,7.5,4.6,1.2,0.4,0,48,1,12,3,2
202692,10.53061224489796,2.2244897959183674,1.2040816326530612,7.2,4.8,1.4,0.6,0,49,1,5,1,1
202692,10.42,2.2,1.2,6.9,5.8,1.6,0.8,0,50,2,18,5,1
202692,10.568627450980392,2.2549019607843137,1.196078431372549,7.7,8.4,2.4,1.0,1,51,1,5,2,1
202692,10.461538461538462,2.25,1.1923076923076923,7.1,9.0,2.4,1.0,1,52,7,5,2,1
202692,10.358490566037736,2.2452830188679247,1.1886792452830188,6.8,9.0,2.6,1.2,0,53,0,16,3,4
202692,10.462962962962964,2.259259259259259,1.2407407407407407,7.3,9.8,2.6,1.6,1,54,1,16,2,5
202692,10.563636363636364,2.2545454545454544,1.309090909090909,8.9,12.0,2.8,2.4,0,55,2,10,3,1
202692,10.553571428571429,2.267857142857143,1.3035714285714286,9.4,10.4,2.4,2.4,0,56,1,14,4,1
202692,10.614035087719298,2.2982456140350878,1.2982456140350878,10.6,12.2,2.8,2.4,1,57,0,3,3,2
202692,10.482758620689655,2.310344827586207,1.3103448275862069,10.4,11.8,3.0,2.6,0,58,3,6,2,1
202692,10.40677966101695,2.305084745762712,1.305084745762712,9.8,9.8,2.8,2.0,1,59,2,8,0,1
202692,10.366666666666667,2.2666666666666666,1.3,10.1,8.2,2.4,1.2,1,60,1,6,1,0
202692,10.295081967213115,2.2459016393442623,1.278688524590164,8.9,7.4,2.0,1.0,0,61,0,1,0,1
202692,10.14516129032258,2.2096774193548385,1.2741935483870968,8.5,4.8,1.2,1.0,0,62,0,7,5,0
202692,10.095238095238095,2.253968253968254,1.253968253968254,8.7,5.6,1.6,0.6,0,63,1,24,4,2
202692,10.3125,2.28125,1.265625,9.5,9.2,2.0,0.8,1,64,0,18,2,0
202692,10.430769230769231,2.276923076923077,1.2461538461538462,9.7,11.2,2.4,0.6,0,65,1,11,2,7
1627936,8.7,3.5,4.2,8.7,8.0,3.0,2.2,1,10,1,15,6,2
1627936,9.272727272727273,3.727272727272727,4.0,9.4,9.4,3.8,2.2,1,11,0,8,3,3
1627936,9.166666666666666,3.6666666666666665,3.9166666666666665,9.5,8.6,3.2,2.4,1,12,1,10,4,1
1627936,9.23076923076923,3.6923076923076925,3.6923076923076925,9.6,9.8,3.4,2.2,1,13,2,11,5,5
1627936,9.357142857142858,3.7857142857142856,3.7857142857142856,9.9,10.8,4.4,3.0,1,14,1,15,7,2
1627936,9.733333333333333,4.0,3.6666666666666665,9.9,11.8,5.0,2.6,1,15,1,14,2,5
1627936,10.0,3.875,3.75,10.5,11.6,4.2,3.2,1,16,7,7,5,6
1627936,9.823529411764707,3.9411764705882355,3.8823529411764706,10.0,11.4,4.6,3.8,1,17,2,3,9,6
1627936,9.444444444444445,4.222222222222222,4.0,9.9,10.0,5.6,4.8,0,18,1,7,4,4
1627936,9.31578947368421,4.2105263157894735,4.0,10.0,9.2,5.4,4.6,0,19,1,9,8,1
